epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1265.77,0.45143,0.26615,0.80923,0.99976,0.99808,0.995,0.92324,0.42419,0.22987,0.80391,0.000957358,0.000957358,0.000957358
45,1294.04,0.45593,0.26669,0.81039,0.99978,1,0.995,0.93382,0.39259,0.21155,0.79944,0.000940855,0.000940855,0.000940855
46,1322.31,0.45668,0.26997,0.80695,0.9996,1,0.995,0.92056,0.42958,0.22284,0.8063,0.000924352,0.000924352,0.000924352
47,1350.71,0.45303,0.26179,0.80594,0.9993,1,0.995,0.92184,0.4096,0.22038,0.80201,0.000907848,0.000907848,0.000907848
48,1379.37,0.44935,0.26535,0.80529,0.99978,1,0.995,0.93139,0.3902,0.20898,0.80005,0.000891345,0.000891345,0.000891345
49,1408.73,0.43726,0.25562,0.80572,1,0.99989,0.995,0.92452,0.40038,0.2083,0.80258,0.000874842,0.000874842,0.000874842
50,1436.61,0.44056,0.26005,0.80575,0.99966,1,0.995,0.93464,0.37661,0.19988,0.79717,0.000858338,0.000858338,0.000858338
51,1464.95,0.42947,0.25272,0.80311,0.99986,1,0.995,0.92919,0.38692,0.21101,0.79787,0.000841835,0.000841835,0.000841835
52,1492.95,0.43736,0.25955,0.80626,1,0.99977,0.995,0.9276,0.39579,0.20954,0.7987,0.000825332,0.000825332,0.000825332
53,1521.03,0.43522,0.25382,0.80019,0.99987,0.99808,0.995,0.92784,0.39178,0.20787,0.79867,0.000808828,0.000808828,0.000808828
54,1548.49,0.43985,0.25417,0.80266,0.99985,1,0.995,0.92936,0.38873,0.20658,0.79781,0.000792325,0.000792325,0.000792325
55,1576.71,0.42712,0.25551,0.80964,0.99908,1,0.995,0.91655,0.42796,0.22767,0.80365,0.000775822,0.000775822,0.000775822
56,1604.76,0.4319,0.2581,0.80512,1,0.99996,0.995,0.93274,0.37884,0.20854,0.79673,0.000759318,0.000759318,0.000759318
57,1632.64,0.43033,0.25293,0.80352,0.99997,1,0.995,0.91764,0.4351,0.21607,0.80504,0.000742815,0.000742815,0.000742815
58,1661.62,0.4203,0.24613,0.80315,0.99772,1,0.995,0.92831,0.38951,0.20611,0.79792,0.000726312,0.000726312,0.000726312
59,1689.56,0.42975,0.25257,0.8022,0.99791,1,0.995,0.92079,0.41055,0.21211,0.80144,0.000709809,0.000709809,0.000709809
60,1718.16,0.42615,0.24716,0.80272,1,0.99805,0.995,0.92541,0.39792,0.20295,0.79649,0.000693305,0.000693305,0.000693305
61,1746.65,0.42343,0.24303,0.80242,0.9997,1,0.995,0.93261,0.3928,0.19993,0.79753,0.000676802,0.000676802,0.000676802
62,1775.18,0.42147,0.2503,0.80193,1,0.99794,0.995,0.93538,0.37711,0.19884,0.79579,0.000660299,0.000660299,0.000660299
63,1802.61,0.40812,0.23813,0.80218,1,0.99795,0.995,0.93172,0.38553,0.19802,0.79565,0.000643795,0.000643795,0.000643795
64,1830.6,0.41908,0.24139,0.80137,1,0.99991,0.995,0.93133,0.38719,0.19962,0.79494,0.000627292,0.000627292,0.000627292
65,1858.88,0.41751,0.24069,0.79741,0.99995,1,0.995,0.92285,0.40608,0.20856,0.7984,0.000610789,0.000610789,0.000610789
66,1887.42,0.40806,0.23863,0.79441,0.99996,0.99808,0.995,0.92599,0.40009,0.21078,0.79943,0.000594286,0.000594286,0.000594286
67,1915.25,0.40226,0.23527,0.79652,0.99985,0.99808,0.995,0.93162,0.38471,0.19213,0.79786,0.000577782,0.000577782,0.000577782
68,1944.06,0.40961,0.24287,0.7948,0.99984,0.99808,0.995,0.9367,0.37516,0.19392,0.79523,0.000561279,0.000561279,0.000561279
69,1972.64,0.39953,0.23724,0.79707,0.99983,0.99808,0.995,0.934,0.38044,0.20132,0.7946,0.000544776,0.000544776,0.000544776
70,2001.82,0.3948,0.22884,0.79539,1,0.99988,0.995,0.94006,0.36449,0.1921,0.7926,0.000528272,0.000528272,0.000528272
71,2030.6,0.40988,0.2313,0.79998,0.99987,1,0.995,0.92658,0.40016,0.19957,0.79874,0.000511769,0.000511769,0.000511769
72,2058.78,0.39926,0.22719,0.79705,1,0.99987,0.995,0.93349,0.38659,0.19007,0.79449,0.000495266,0.000495266,0.000495266
73,2087.63,0.39304,0.22422,0.79911,1,0.9999,0.995,0.93421,0.37056,0.18849,0.7944,0.000478762,0.000478762,0.000478762
74,2116.19,0.39115,0.22312,0.79196,0.99983,0.99808,0.995,0.93232,0.38494,0.19839,0.79552,0.000462259,0.000462259,0.000462259
75,2143.77,0.39392,0.22676,0.7991,0.99988,0.99808,0.995,0.93934,0.36528,0.19101,0.79297,0.000445756,0.000445756,0.000445756
76,2171.75,0.39157,0.22433,0.80101,1,0.99991,0.995,0.94261,0.35679,0.19153,0.79119,0.000429253,0.000429253,0.000429253
77,2199.73,0.384,0.22657,0.79782,0.99988,1,0.995,0.94084,0.35922,0.18589,0.79124,0.000412749,0.000412749,0.000412749
78,2227.99,0.38869,0.2254,0.79656,1,0.99971,0.995,0.93697,0.368,0.18689,0.79288,0.000396246,0.000396246,0.000396246
79,2256.32,0.38683,0.22067,0.80002,0.99785,1,0.995,0.93425,0.37856,0.18954,0.79248,0.000379743,0.000379743,0.000379743
80,2284.27,0.38126,0.22395,0.79402,1,0.99806,0.995,0.93565,0.37027,0.18736,0.79226,0.000363239,0.000363239,0.000363239
81,2312.84,0.37978,0.21717,0.79623,0.99977,1,0.995,0.93607,0.37352,0.19209,0.79395,0.000346736,0.000346736,0.000346736
82,2340.94,0.38062,0.21916,0.79593,0.99995,1,0.995,0.93812,0.36748,0.18752,0.79221,0.000330233,0.000330233,0.000330233
83,2369.65,0.3751,0.21966,0.79367,0.9998,1,0.995,0.94242,0.35671,0.18022,0.79163,0.000313729,0.000313729,0.000313729
84,2398.65,0.37472,0.21557,0.79223,0.99982,1,0.995,0.94338,0.35572,0.17868,0.79152,0.000297226,0.000297226,0.000297226
85,2428.45,0.37327,0.21536,0.79615,0.99989,1,0.995,0.9427,0.35822,0.17689,0.79097,0.000280723,0.000280723,0.000280723
86,2456.43,0.37501,0.21166,0.79408,1,0.99997,0.995,0.93917,0.36023,0.17837,0.79101,0.00026422,0.00026422,0.00026422
87,2485.8,0.3676,0.20829,0.78976,0.99985,1,0.995,0.93953,0.36004,0.17662,0.79118,0.000247716,0.000247716,0.000247716
88,2515.22,0.36728,0.21224,0.79249,0.99991,1,0.995,0.94181,0.36251,0.17775,0.79159,0.000231213,0.000231213,0.000231213
89,2544.14,0.35832,0.20466,0.78831,0.99988,0.99808,0.995,0.93997,0.36023,0.18137,0.79087,0.00021471,0.00021471,0.00021471
90,2572.93,0.36522,0.2091,0.79103,1,0.9998,0.995,0.9428,0.36047,0.18069,0.79089,0.000198206,0.000198206,0.000198206
91,2647.32,0.34825,0.20157,0.79603,0.99989,0.99808,0.995,0.93596,0.36598,0.18383,0.79305,0.000181703,0.000181703,0.000181703
92,2675.96,0.34951,0.19824,0.79124,0.99998,0.99808,0.995,0.93435,0.3713,0.18414,0.79382,0.0001652,0.0001652,0.0001652
93,2704.26,0.34275,0.19688,0.79115,0.99993,0.99808,0.995,0.94078,0.36333,0.18025,0.7912,0.000148696,0.000148696,0.000148696
94,2732.71,0.33712,0.19403,0.79114,0.99988,0.99808,0.995,0.9383,0.3631,0.17902,0.79152,0.000132193,0.000132193,0.000132193
95,2760.4,0.3419,0.1934,0.7944,0.99981,0.99808,0.995,0.93933,0.36382,0.17724,0.79169,0.00011569,0.00011569,0.00011569
96,2789.03,0.33464,0.19198,0.79105,1,0.99989,0.995,0.94132,0.35964,0.17653,0.7909,9.91865e-05,9.91865e-05,9.91865e-05
97,2816.82,0.32956,0.18979,0.79229,0.99988,0.99808,0.995,0.94395,0.35092,0.17334,0.78953,8.26832e-05,8.26832e-05,8.26832e-05
98,2844.82,0.32752,0.18785,0.78661,1,0.99987,0.995,0.93812,0.36797,0.17601,0.79129,6.61799e-05,6.61799e-05,6.61799e-05
99,2872.31,0.32414,0.18935,0.78512,1,0.99986,0.995,0.94003,0.36116,0.17443,0.79076,4.96766e-05,4.96766e-05,4.96766e-05
100,2900.43,0.32635,0.18787,0.79018,0.99966,1,0.995,0.93834,0.36302,0.1715,0.79069,3.31733e-05,3.31733e-05,3.31733e-05
