epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2121,0.98502,0.55726,1.05977,0.96323,0.91169,0.93951,0.70197,1.02442,0.51872,1.14622,0.000458723,0.000458723,0.000458723
43,2163.16,0.96957,0.53923,1.05867,0.95848,0.91145,0.93918,0.69814,1.02796,0.53122,1.14747,0.000429253,0.000429253,0.000429253
44,2209.49,0.96192,0.54045,1.05071,0.96368,0.91595,0.94248,0.69936,1.02446,0.51696,1.14156,0.000399782,0.000399782,0.000399782
45,2254.34,0.97499,0.54722,1.06093,0.96344,0.91153,0.94022,0.69401,1.0452,0.52063,1.15546,0.000370312,0.000370312,0.000370312
46,2296.04,0.96737,0.54574,1.06246,0.96044,0.91384,0.94011,0.70026,1.0204,0.51368,1.14044,0.000340842,0.000340842,0.000340842
47,2363.03,0.94046,0.50598,1.05886,0.96322,0.91277,0.9408,0.69734,1.03212,0.51571,1.14588,0.000311372,0.000311372,0.000311372
48,2409,0.91692,0.49846,1.05156,0.96597,0.91338,0.94163,0.7024,1.01341,0.50733,1.14218,0.000281902,0.000281902,0.000281902
49,2464.29,0.91261,0.49219,1.04777,0.96822,0.91671,0.94284,0.704,1.01169,0.50462,1.13957,0.000252431,0.000252431,0.000252431
50,2514.01,0.90132,0.4823,1.0405,0.96606,0.9148,0.94262,0.71316,0.98833,0.49362,1.12961,0.000222961,0.000222961,0.000222961
51,2563.55,0.89235,0.47982,1.03931,0.96593,0.91754,0.94368,0.71158,0.98548,0.49103,1.12188,0.000193491,0.000193491,0.000193491
52,2625.04,0.88046,0.47034,1.02964,0.96412,0.91726,0.94189,0.71172,0.98452,0.48796,1.12379,0.000164021,0.000164021,0.000164021
53,2670.75,0.87248,0.46871,1.02863,0.96892,0.91631,0.94265,0.71456,0.97593,0.48039,1.11864,0.000134551,0.000134551,0.000134551
54,2710.04,0.87327,0.46472,1.02859,0.96589,0.91918,0.9424,0.71457,0.97472,0.48043,1.1199,0.000105081,0.000105081,0.000105081
55,2755.64,0.85852,0.45557,1.0188,0.96831,0.91585,0.94354,0.71667,0.96447,0.47819,1.12019,7.56104e-05,7.56104e-05,7.56104e-05
56,2801.76,0.84605,0.45644,1.01647,0.9658,0.92007,0.94397,0.71783,0.95865,0.4757,1.11195,4.61402e-05,4.61402e-05,4.61402e-05
