epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4768,2.01814,7.6784,1.82789,0.87697,0.88269,0.95329,0.73764,1.56453,2.49776,1.76287,0.00055323,0.00055323,0.00055323
2,80.4611,1.66803,3.65877,1.75325,0.8668,0.88846,0.9525,0.78119,1.37564,1.31943,1.73284,0.00109792,0.00109792,0.00109792
3,118.155,1.59969,2.12542,1.75488,0.8934,0.90251,0.96545,0.83046,1.23666,0.9146,1.71034,0.0016316,0.0016316,0.0016316
4,155.96,1.53258,1.43165,1.7608,0.93293,0.94808,0.98277,0.8387,1.24572,0.77569,1.73005,0.00161749,0.00161749,0.00161749
5,193.78,1.49584,1.11125,1.72665,0.977,0.91731,0.98677,0.85438,1.16418,0.68984,1.69238,0.00160099,0.00160099,0.00160099
6,231.201,1.40434,0.94299,1.71216,0.9205,0.9574,0.98646,0.82635,1.35199,0.7008,1.72552,0.00158448,0.00158448,0.00158448
7,266.731,1.38466,0.84612,1.71383,0.9654,0.94808,0.9896,0.87741,1.06497,0.58768,1.66793,0.00156798,0.00156798,0.00156798
8,304.971,1.32242,0.78194,1.69078,0.95089,0.93095,0.98611,0.81041,1.38687,0.70668,1.74697,0.00155148,0.00155148,0.00155148
9,341.683,1.36661,0.78672,1.70284,0.93173,0.98846,0.99003,0.86198,1.1246,0.64263,1.67163,0.00153497,0.00153497,0.00153497
10,379.729,1.31751,0.73304,1.68724,0.9613,0.95526,0.99089,0.8814,1.07377,0.55237,1.66274,0.00151847,0.00151847,0.00151847
11,415.626,1.27087,0.70062,1.68307,0.96207,0.97564,0.9926,0.84284,1.34373,0.59866,1.72042,0.00150197,0.00150197,0.00150197
12,451.665,1.24664,0.65983,1.68471,0.97104,0.96719,0.9923,0.88147,1.06441,0.52479,1.6574,0.00148546,0.00148546,0.00148546
13,486.473,1.26145,0.66146,1.67934,0.98647,0.98139,0.99431,0.89711,0.99737,0.50139,1.64073,0.00146896,0.00146896,0.00146896
