epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,965.95,0.45147,0.2564,0.804,1,0.99987,0.995,0.92062,0.41702,0.21186,0.8023,0.000973861,0.000973861,0.000973861
44,988.28,0.44851,0.25744,0.80732,0.99987,1,0.995,0.92293,0.42813,0.22386,0.80415,0.000957358,0.000957358,0.000957358
45,1010.82,0.45129,0.26228,0.80841,1,0.99988,0.995,0.92675,0.40446,0.22294,0.79947,0.000940855,0.000940855,0.000940855
46,1034.97,0.44657,0.26338,0.80484,1,0.99996,0.995,0.92824,0.40495,0.21953,0.79861,0.000924352,0.000924352,0.000924352
47,1058.09,0.4433,0.25476,0.80316,1,0.99975,0.995,0.9239,0.41634,0.21819,0.80113,0.000907848,0.000907848,0.000907848
48,1081.46,0.43474,0.25262,0.8023,0.99963,0.99808,0.995,0.93335,0.3895,0.20558,0.79614,0.000891345,0.000891345,0.000891345
49,1105.73,0.43487,0.25296,0.80408,1,0.99787,0.995,0.92321,0.42079,0.21901,0.80118,0.000874842,0.000874842,0.000874842
50,1129.83,0.43955,0.25566,0.8049,0.99785,0.99808,0.995,0.90726,0.45351,0.22022,0.8049,0.000858338,0.000858338,0.000858338
51,1154.35,0.43479,0.25143,0.8024,0.99993,1,0.995,0.93429,0.3893,0.2099,0.79646,0.000841835,0.000841835,0.000841835
52,1178.07,0.43167,0.25265,0.80369,0.99987,0.99808,0.995,0.92825,0.39132,0.20533,0.79775,0.000825332,0.000825332,0.000825332
53,1201.95,0.43495,0.24873,0.79832,1,0.99986,0.995,0.92573,0.39878,0.20346,0.79768,0.000808828,0.000808828,0.000808828
54,1224.63,0.43407,0.25218,0.80041,0.99975,1,0.995,0.9235,0.42011,0.20637,0.80244,0.000792325,0.000792325,0.000792325
55,1247.92,0.43166,0.25133,0.81009,1,0.99982,0.995,0.93277,0.40281,0.21093,0.79681,0.000775822,0.000775822,0.000775822
56,1270.97,0.42507,0.25309,0.80425,0.99989,0.99808,0.995,0.93154,0.38345,0.20518,0.79401,0.000759318,0.000759318,0.000759318
57,1293.05,0.41992,0.24568,0.80023,0.99965,1,0.995,0.93128,0.39462,0.20523,0.79776,0.000742815,0.000742815,0.000742815
58,1317.22,0.41514,0.23711,0.80094,0.99977,1,0.995,0.93136,0.3854,0.20067,0.79516,0.000726312,0.000726312,0.000726312
59,1340.46,0.41974,0.24036,0.80011,0.99808,0.9999,0.995,0.93241,0.38319,0.19873,0.79667,0.000709809,0.000709809,0.000709809
60,1363.88,0.41551,0.23974,0.80043,1,0.99978,0.995,0.93552,0.37027,0.19488,0.79334,0.000693305,0.000693305,0.000693305
