config_id,total,correct,accuracy,avg_confidence
1,500,426,0.852,0.9671451625823975
2,500,289,0.578,0.9442195253372192
3,500,426,0.852,0.9671451625823975
4,500,289,0.578,0.9442195253372192
5,500,357,0.714,0.9526630691289901
6,500,289,0.578,0.9442195253372192
7,500,357,0.714,0.9526630691289901
8,500,289,0.578,0.9442195253372192
